bit_length,total_bits,random_multiplier,lhs1_projection_ell,rhs_projection_ell
93,228,7870206843454398241554711214,51438220713204351577548321726758772118208393493098001574833040562187281288484,60492609952588644985480525911434132419094050985129815620107896242921389404623
94,229,13048744293150468690143286624,44910696643565418349528752808782183378013515420610706949300804033139970832717,65289570128842426849593084247968957846314334773143665381512557697258930005957
95,230,38625884763393257709921765028,98389066336164865385282300637422991387256181440271402558891125470674715628069,50132587040555034397534975682363155232329314848007600955991537305187308432874
96,231,51941970343287037985773167910,23807700430204880490066231001449172949881223697123095997927592194095182434079,68025312442324287474810976687718408010976262250683526259127960187733204365661
97,232,86981671170669838231018244359,23323882120248859990307495445947501717142191552157237906280005503311152120625,21884920783265981974199040831500520960187246833997531578556088625398755233246
93,228,8413868339254812620695987637,88377152253539725339103369404716697434889402708920809209864004325024981312974,115713418185414590862306326450113299398602534212682565005650302313670825197831
94,229,18791635944399803267494942736,2551522914221747550821307409306217734948507619013898271094072776674900344800,63900754925815399452973497751148644244922150731232162996392352048932617517083
95,230,38497733333564068541970006484,21371900112611171127520824077968395691460467440467950787710487763416821430299,46346775367259163765136883993336490192102658405813087778695354768797911737947
96,231,48078888955999006515669997749,98069976728616676529129170993403996282783705958630932205693225030348294164117,53477586905490075353436580722066238243516627334544939519156409718077464157719
97,232,89942352367415580232366142160,42438788309207598594268768903634625509978309742536547832179220897845337579335,104556420665738350701528028123113430852539054894336096000193069177321690761956
93,228,5701824669492086876923201037,40012060303364322714089549579593918113805350518480133342743718288864426531900,106403592055336844330263006264568747025982606495864528721076889832877867688655
94,229,15801828952525603473583304698,85174410180614377989209515310275735796674707594957745512540483946802473449828,10453807183686331800826181048562880420947760632795568911230148881686958523266
95,230,27538210888787770440959410615,45266114957922046896234948017668966506827834208443515854255154670638766448330,71290378138798968215171835508818750285644559383560391643483907483110327732824
96,231,78387185839478032312505999817,11431233816224104141864701554378225057390798564510224899099290875732106282721,58199087473943463771647729892673914192923484372720151840529376167072517918573
97,232,148200815433654564066306450641,52335632990223997160654948794606499660521302412437473800653143268058488525326,53908247483872548592354492828249388270032575151223585349635114356510655249568
93,228,9750439448794496909421955303,35811051874167156582558284133919609902658312421385462627289015416886243962627,64159411948021625178941056074346512662426392975709048484522832115120887368687
94,229,14017404605613334112142738771,41365381846304136860954904490164134835730161791900659556496947494080696926083,21934128421187628700810023202972311594989571893336095005889351575229711957634
95,230,29133956288266966622456177535,45079058682831034651977268035351514576362300270931448164791067519516973782908,75720161225476858673417066549413764007129811878719871689311626142968726434119
96,231,43997183286803382922759716458,106164340282939218761875183983415164458396681834117877971489586857144506088845,48811618636615998882778491444864317742362433323283830154884703478264372707532
97,232,129422055028830684965119778004,66297731153057712268398306341177912414808954525433641287649958196855280534740,97847298348520254572756520007535292772948156969914984099356647523441836418905
93,228,5644386710202970635321540969,69173635816507217501052554859051314903209309803495184207038512317241130338184,22344156207199583979662356800456734482767107695686361230986016475070703766420
94,229,12545225240984332037984125638,28763983882936159780895889522925896917360049684616322176817080239247025283864,10376039984792069224850851275305609643142471536739287613948392005309291629211
95,230,33441549771307895213118261753,87043765234619999490459711249299668595793815449472476028333552342174802796418,57010313888226867978273697405943547354859740608270551078827145706985319515933
96,231,65992679499020509978815758892,74397517349653088323438775915413743057658922539122209031020906869567167313216,112371969106336505404621559957505402475086800486805111913260303288510211188194
97,232,142607498575017422363760159123,95198528920276875280909159156570286337467355207264104874104786922197818135921,92593917874176597897674640270068474735474348681150012812410032876928839776291
93,228,9020547760569318731460136411,20159507414570400437069435911827223773473601122004405578199130451964936071980,45538800670548504941139031345507873255735566518541957643439103168092960629927
94,229,12541617595371503314622865546,104413219801026254254243951184410115344305792148795955180581983797712673892317,61491559300137540655160580060815609750065916001559483290427608475619209120118
95,230,20679020091376365189868723247,98624448461703275121462244339746176310581882281502069628622384522136426579340,7647450174707700262756537644295287397531817804175382564840210967253581075656
96,231,76800924654093092689894774420,29693414040427444524478056893578708940201324311788903187436968496841341695375,92290071925975381310160603143092408043593869844423447425322526276055585611679
97,232,89828442588163248831228203543,104258391110608002685991367320552091274310324618003618762977897209434270004031,113387835372353045264053293158369181424150129555548342478587777247476292048853
93,228,8174066017838700114195591082,107556823666023348721783816898051182532704617956937270408833086439639170281971,38967973015264697405139925577930122482990955546389334509809043769371711081405
94,229,12802324952164133615372516370,38852099807482575120106731924504204580952957841272106247465430709827539651930,79781704568088183834981431485664109370172152384178843309847840115230513349025
95,230,37745736961262121708714394391,98847132165448177450942177836058583677379900055436531050097349319513707159765,38317658589098257858295030424278631278542067699567446977165004573210362044828
96,231,72293251007250775083877922746,110095454860580628675715325860757317700504455269666576998685486832470984656886,14453555903009351672119453637570649819918914403670301584886106722002963174730
97,232,130418955054802714342533529195,6740054726314173722093809710278994508017358722799357490553703101411496730968,7100402307273010369132613530795946878085253738080391495526885383531410533089
93,228,9422028593980494247235851577,1626050720884126556224905982931511414813814515195363218542449981629183983041,52615232296834195861974153328370451917614051254942222364800848612915926333267
94,229,19540777561512151114135204189,43069811414081305596724280497752880097973802706843851592922685934653268730132,101993776345821172595506781737808270574661669257782966246922593038150334380009
95,230,21946059319328743341806263792,1714602662360436642886722470093115793686600667928856554051541672647377769033,88719037879534676228533091308346852976270510411019429530352443614644373786764
96,231,71334061599237855739966706413,37446994854087578299367815589124820804126384935887526217600965981453199639386,45010186027149224361294952414984359181993991552204326746484097259386129338784
97,232,122833888440823876414273891376,49520404797018875968330505733393690383718155301499838453861840282309949471912,78684883743762395185805371922606409806333945400971816907741359605924219066341
93,228,8220496056772408286545744950,89768356569441861216923403147886764476174735229085306462973210481729375207274,24011993162869237825980609809982627248687281815065901263309298972676161310721
94,229,13694015690106376048808087977,97688286474807965730145378872655552667128961316720211506948719598070471827799,36862556561609750207849918516074320406973258285395075767297064996787935835944
95,230,33528922447087687769108203219,94043725805581014617479299433984121831094605226185994331400674692907027468569,61048124980477157226802264666324565700666936758469328409147897434906615292453
96,231,44382444700638158206976906684,7607400854388363781427798741479824548440103329436201863166877457136409765742,86567841413640503824442092714922527043223436156880205775950547523350835560020
97,232,88176577379233308567104629057,15532071673702591700524445748023643451899991461023052732971418389862781496572,41857671585379114060733310079190749845633970443063857207713130152291680112581
93,228,7855462158132547954472229519,58093470007036547171181838541895809115619813924558216204712949613324891695264,76144698086112511692025689656231716166596994027254211972667177742327900543688
94,229,16046061329661758883094954667,91159323759611741836561809260488796691762284769526759712657091826107322804099,9368382635195824252330401173384807592313676022894479910670195883174358322562
95,230,26036084295436008286083769941,95253162657011949701971615426295999991844543019536508006774344664423010265941,54348540100730780442038338742473358506465294432453557883616119287097507312876
96,231,42213564980188128693368840002,26686605204931884943814438204531739442893138171342651224860902913663928129382,23789274790645876030664053811953250686835456314438389837962676601026451862364
97,232,154833358291205886639819727022,88000436642394360012480939961497861312262858141631997989542587394143627328101,92440365641288203881094917201801323039887785339101873244182360769606687907075
93,228,7996076797394570791107165089,58303032002247841433652629446658520276320151841304855803001243040612619877637,4919068128508384185210120903834592749666010648668956307780501735992473816127
94,229,16609532210549108506736529383,584567755623604008313051488225579944544911481883382254087208676527633505540,54810521312345251790955765802566095533113037263240012177048220841939194235796
95,230,33428937537625475008845726751,32247826216439455609722148165141069142552655459028428981530578325330390418651,76429749760705144721894846642912267640387167341366929418740506830550214501796
96,231,73232378471459699661547268563,103987425342996763036393259844116430915636726870988408631959349016924297999758,47155877157412729289618676961110981590384745270164461638477599669472855615994
97,232,91457727165834646378740729497,53142098978714808593532462214258500049709450892555985541673360834347830934494,50989218218604417183937328423462875023887368631260090577774017305914388110348
93,228,7790355471366735927641694525,53679467425954259006541343104777028047273652826605723519452330528010870129178,47444075617144448979343999636878472423349365435378753452560497962319071857559
94,229,17225767344996761820017074012,46100615063969315567946593854597430328679024937935508135381548887606434851893,72040547894457217475935992347958378013159008360162865134029969942862233130325
95,230,34018075505053888013500516979,97386827087002327987665712849378839345272555274448324847372369410689590019819,28014593058463568633293218548194863546845429791892213830471980981372432332416
96,231,52967128988635939280884757760,31565812499361578892205599864358481047223336797127184545215432649809997952071,31514679318432448239937014601273973034773705589646792100085332004247754119515
97,232,105590324231642121987182663682,102217296244643113240773151610695258658283627670411742911950859450973592259687,113415786794616440498240111478312203030836918529072060651508100653930361618069
93,228,5854993286159585932515159873,52382626262971005027879103295431689625578548455515019076752565416259423709659,3761847657789035166356469794302303758191481068782956354423444132206599072427
94,229,12519761107158820939851156757,114156584921860288708510250504178918466490474493022383257730808136682300545702,106169787394433817333429722653865569583587124671680670400339418188180332502789
95,230,28557339652901958042210037711,7791602615388497576792119849410471684953154690919706081172232084730762477017,113985764276078644061128108170115040670568614515557918094778819124621512723190
96,231,78353057672960163971974591635,9839146661831617632981050850580544868932548749749856336277767683426177657485,43795526491362739733628286029000821263723051170412795390274130958739932300068
97,232,107396059899625844404583565086,39620167749785927574487929139333425858469405880455801122983611439415312496862,108066452291923848412364046676926368728066187740372672241633053290731573168475
93,228,5207510569641312187380432215,2876071217510536392372153222847580805343392995149470884959659771038341532608,54614584919763216779488888164270695622040751562222427044622337097848619685628
94,229,19030142696121863929482532707,96087026917120180243398653414658698688803069208224906592303411027824154295845,38117092973226942864616437030171769549439653109112158656677504941197452750212
95,230,38865059321033560991882230353,63965208115913486810467381707522032487160681323252613646263002664364939475951,1620874136237522415916172684107168749293293533659258547090116762259169526199
96,231,50348611754129929967227797812,58496962139274141140858267007651159817939016699752917892338661303139162081163,46884536851655483393450204467804219806609522434358396642836392579497392147396
97,232,157930002553851171126802171345,71963621819738965218432598518069609801157979691074873202329627895066701570360,55306157254497203392596643224545025024070355038511557732584182271238487440012
93,228,8977774260934238322681694347,103580070475963304008056029529074349773080595537412150893010031585800865859128,36128022615418403062753369284673875144260980497183522089640886448948431593629
94,229,15140932656312720685994358599,11511171837115970384130873205412830948585537977373734438706191983147309383014,27914278519788747466060225684681186881498138207553570597037835172963129692835
95,230,26740688334401883042325702406,29654170061409162831374710382977978451540291536213506857606437033683295130841,60533811541195475228885621446986079447168762780098221510109120496132270421346
96,231,68731485423416775883168086538,47509107850030582623986267440120817711109974215759733560623372795075894520060,30225300084020406235443834854390641812021874574312090592609486078788714176636
97,232,111659792027532792911029391402,9761928007199250891581247164500122271817791679884610040581315097467295691811,30779410445127279402007825658964788433215081022343397984297578421645766533072
93,228,8297131755842143563074361494,111727394315676824987061889583478276880622309068700067640971221303334502747739,23405807861149718769496179334857449483158687826818765109739952456855306720579
94,229,10092071206416440330826781342,65690469894740947532802230387607901854959787215239559614752642767109103005708,1633943809041450183303629836355955348480815477951343321844736368800246360874
95,230,34145157591048001220057732159,112485263406191962040632756446331575014468545232941900280190200085849844446758,79293509825908351502898300335288819173636401409016888484811918603366557204195
96,231,59665837303052829644105037728,109391386900788981914168068245264466159306933914137224272076721272607523312640,86811285178097439664537900903325639223032175641380124354522448692070158650270
97,232,149470656095772766148960733368,38347758521461503286562095533066048992852158893383143839945027333743682930668,92590366145678162834141198993851330797188760068468515533665723304318252784073
93,228,8436242656142783462295705757,42722899950062056124970703197290107921395233810668497098896639096328832671959,40023954450150896358087218119514915760081337723839982432110431794639185899093
94,229,17899763873301249994218552115,102329016462400397420433486301773239041540976263977530607250850316297466336724,24861681414972745448327279706265923669922203996043512685943063291490348775172
95,230,29174604998282295602508690461,96118562649685442333233236693617919455563150346555529694443187694564627793525,89237373369616271124542662685932480759159705603747289153047401247069971865777
96,231,43118264812096121087512557203,48964423435716684745423892680166002724626403529505183815156062770893706602695,46362810929879427441293653427782206711761290403541949235003890648512654293399
97,232,141231375337590093474486746685,20860996358529165268790427702016852638849344899844789405008326070849515909826,55135225238434016628163239002648038117556672270246492554075111906752007884378
93,228,7619483907050452606120006945,40052298293419312997947736018830657635647720221982361929592322880740223849863,18080333115456875554958997046611728076297951124837332293204836363521698347818
