bit_length,total_bits,random_multiplier,rhs_projection_ell
93,228,9436427776076831520912158690,97724247118214981547111216175059079856377624918864955242140687836086342847347
94,229,10117060655345873612537085935,57377546194306489233419526249599601815702520946415702250849031771458555240069
95,230,35516727078501421527487576073,58664081800755872925298538884216887970280562556874473961113491292267509211915
96,231,77574667759284120705279849880,79732811483801753285011211900090017010464244434017463757574354558700919087831
97,232,127184438410686336133478628264,71077314329555579916144721205442614634290914633878360057160854725693775248889
93,228,7505599269695168744841646742,8025501982436011661779435526293165704134533413520294070683773394026541544937
94,229,17145781484483005381215719302,47493188631965758688744023985726047639073813575790743446266672738235585476554
95,230,30325377440101334906242061724,15016797674000971214732982202218163723944317575615936779473744549308817563118
96,231,46853293847331630864497908650,37250771334950310013367145340671482150353422979361224356940066655058919694988
97,232,146068594084497528223466133219,14295383728620314628454443885074979770183547075079566751890321200588703397100
93,228,8764870898177160493084518795,104577789228216652816057169159453225923757041865945455075726427915485931083622
94,229,15859310922075224731933316585,6874430256407394930486759054013020686713808688970506649407467402300420677212
95,230,36069727742413452494093168215,34729465534351067734727119989510307318614902588317962875063960166229162732717
96,231,40960602047316281042884530913,106175804180266179254676485424706504856792114897317834608263266394177709089121
97,232,113041773069176494798257545326,54643637131866618439546496501559077071281774520057897425300933438349396235222
93,228,5421151864723038676058385351,86939714954396665931657537802582804498907494122370993721452699012288740913415
94,229,15214150421659152544221720515,65245977020459281400544574722485827246093280774565108879102984295876607390251
95,230,25030191224997228264446704875,11669296571209869980513479658972786581019874636664996439584729831608733206592
96,231,61613558662249355413301997529,22024326023102759300483247541849342264104789384186437632619581788390258071319
97,232,117400070196757205714360610659,13714688273043807891399901681394526143776765606612836631510614343341429344931
93,228,6223196296293573281761654471,6892004921726301249139612864067018244016842999758073664971401840014139131308
94,229,17786616207648146677805130470,51341278732325548351139158728791517676911890919691638094418936655037739036211
95,230,24807716314368610919769294142,22795617947008801566819173790994214180350580311353204922409805478233611660444
96,231,56419499397441697466213672887,68078465748572017337819424222321813865284233918004182821623831992531296659109
97,232,135186418061884486397821909757,26727431171543001608231277454081048142472384017178321055430125338555176067219
93,228,8827934945762024863314982415,61612397332738754829244670919712933043629832386602265137344386123638596536133
94,229,10656823914953879342379682242,113163630283479373313921530938394725869341271437812650065224846913010985323919
95,230,27311016839134474774312642151,95489503609292667640824681880026890512858500746223694735273249805950304009898
96,231,45786337198892586603745252123,20260595713864631412936390342018237529837755671485420188748278628330428646899
97,232,131428082629351369702510955048,72394367390555475647055919526709671618295253920723206189069678572923825358886
93,228,9226394056732259158073405379,63184465208863651350101490880761200296069625051119079438969782153140469848142
94,229,14499648861430059004029981336,84710004933125701391305167958683009023716307500271473279737019470292338919986
95,230,29186728564955895794412291752,14298878063674518920717894580930830716027682726522299667867109252073906108365
96,231,53323988398230812200278558269,65007671723537744323885178707074126715178027561297841286848836319434907326573
97,232,91311486702777528071818689610,114036737839830702567069045449573211811206650279811843600470442880893103264894
93,228,9732781138959100039521727613,86806885215010277353264269593420704390940945778172245553540959657899681629604
94,229,18024112928486797815103853626,32339841571999602176710358113291747301732556575325836226233989565501793947753
95,230,35836222719660396055736145477,110177267942976281993227033605688983584408276716366469742627472517114114553680
96,231,55122451870256614837998076847,84675266075401733760873637505361952456951565236545727220019224849215160238964
97,232,108024302293788370271998249117,11867552740096266133328083246156024103248360004063780089262592830083029607846
93,228,4962978633884629485703051474,102492275772923196719204094748805452904464153232526932660660041445129283946026
94,229,14462920361480406957528693810,6077973544164034764237179922935056669455598774355357973024254685690538738782
95,230,38242208021271483387634430041,68901596281180088957115370914306126504968061976373202968626861844826954598303
96,231,46451921427910014957163628430,106885685048253258506917306366231743446493472565922503553572970155447914678462
97,232,128326846809648415901287514096,57311751022551194008993257563936013548884761007877896140474269387991351618595
93,228,5936110895882530841825604942,104985860366955361089622242598449578475454423575604034189236370655701065475397
94,229,16064006663453829854506833042,50683475219486201053475930932863896203432143993195182471224531117097313547379
95,230,37623695527061830841858124825,43945316945629187618955721475923594847591319853921245204379767060879229062029
96,231,73461390906947061852364456272,105034620839759637526828884373078121411915427955662934518707753143848341588469
97,232,147482868069124724343437811849,48796265730083721240587345813115407998558082573160204674688354954676968658905
93,228,7920971826772255645824209428,97132757111465992271569801663019879622937475099485317876882049584886244680906
94,229,18369387912395950764621058116,63004731874407136019632364766211863093636076399457507993284853498151158105954
95,230,21572965572849071403137113575,87213697576327289419428432592342472039442725071333022788840184312851009674660
96,231,47690110897375953002192846207,6605651317914095129434364824029797300364768106883453941084121442155153236061
97,232,91822902171513563846039271949,84797852374221529007457532772901046103955895304232989525837931019542406958018
93,228,5089400661318162131258050751,94042613839911536543321774851578799669907012773746842951524602508835115520472
94,229,15666978263972285951631554589,46635553104990973046293585663801993206157103696709072857379110834905998809969
95,230,19920021289062521554879869477,47251629922477993675393877619417013928831491451621666247624269417574923164843
96,231,66762928457646186200690835769,2419286957215771374758558288973467944229063769056163417079592415055334301750
97,232,126623360116049226918792165135,58984126596807694209647814970942034050482594572741498392008508632541229579636
93,228,8750357532688905409015171841,99638765472767395324976422695301283111281197304392336979398568043036998932476
94,229,14043783530799139842336974468,80917270844414369570326339086191948248718376970744238389479260605614453388045
95,230,32781379730866512549498991513,89641095403197067552684072594237478122638265915639745766587805340232316178555
96,231,59567990978791771893064451215,19767803771325934023934913141228287211611290036184293820636602052203135211757
97,232,110295506556831292950046374816,38741475504069671687029171629159055751493143256691306158870101061663717200589
93,228,5889142932398594753817670504,85117806703948070112025633510385738340849943132884220743528785172518094615087
94,229,18789395651953053852427076602,95707206333702308722367754546334798294472678054279210149875368673005734245662
95,230,26796422788665120593813124726,5177538465666877740292489215405848185254584955366212594370894370667834002926
96,231,73386622029594208773730152448,21635245519514838509925466954527254361116814908606094636877932217129048787758
97,232,111317236389421167249798902879,40043662243382367538769063041873206901037518843998853069297726676940448887996
93,228,7119117209966235448583042743,44647202065146819245759606048478502199106308533666490739642534960118462252124
94,229,10946128376491512423759463502,111421847445150292991289413049719479363885079481656204071556235996246148411422
95,230,20000843507018247041919370920,105959445405857805304436787818138831600511104519465658404205911583412793945251
96,231,78006664293402305732088492017,98905003687601584311409024718069174267466592734605995143486697083296971716361
97,232,138874043921715910011576622976,16711206436197483988113165007094407962152366744853985377045615359629687311405
93,228,8501283333555817158371891706,25554341393485281567786247790454008244718167485384281603739498634770032258062
94,229,17660840731264185674640092094,15456615996954017516099876994728136587908970071831307636296249228044545954822
95,230,19912658852759537660393196818,70775868931861811761409991507899881428020585407984187392004874886248384490149
96,231,50584523606423145989654278002,59692616465943453902715008432046301326965905423167085783573328520673520205112
97,232,107626520657337508145839120907,39904546315747143741345828424470167321279195518513081140723660450217799442731
93,228,9241961168893486925083835386,82903345551700902479658376940328113352658675402834817178504481697474889934520
94,229,18954711750485883964193344000,100432247845929535988781052497159475828900604284726087223784351168521353059103
95,230,22133719133830877441885850362,98872616029156093479387878826433413166670079379637770801876599746560543067328
96,231,62840033724724270377810455093,105943761785928846967278219762508740798470994012602260962116281725783429932800
97,232,110785107853396199931868848052,30882332096476628131948725198302929154922220046562130887393830794247073253440
93,228,6049574626479122674121212909,85375848766116966824227754385228732518218868935598138709776675196877197430679
94,229,11281730196391278131120560246,11632450250458985271620423065538313318573788077823412179110668108736601815467
95,230,23712078161639795570195072187,27670980809983157389691341316065042702848722903131870560544285626839757087892
96,231,61313528150149306128475247835,49208598187753328263580527693684164703868126575290564376789497794968005150667
97,232,139745956982729754420890173726,96493415204501906443084053931352315550615560243429013159915984547552626661288
93,228,5873322562851321742677234630,80402621270254738603245614689831477133019457841007857966042252894834985476131
94,229,19216171331191739049141097521,80525271856068173963695267387597014697430601340349239673972475726835804931251
95,230,22844524366311666456486675014,78351231610465830451815180255197445723611853077718500450425453999381181192249
96,231,77720431555103762980477894376,36154253728185088295333664394200610184801746454254613616227290128741151639970
97,232,120498265258662915270306183661,25289531918271863778208603511512493227506204293641653018039395953244968779311
93,228,7382647106683724943926818216,36207774867778877194353888185714714000262919979807501704706657214643484624017
94,229,14331797717029066316232039416,2198923621654228229839178991209939152874460388796440189521322986654061858389
95,230,24451223686467090927735212561,4573621028174262205392199352343213077396535374995342333083488296211843277563
96,231,71870848284029472598360091349,61645134376029699267224452540897983955652481864869297642032902993438838836175
97,232,120123000371638820591986573384,54360435345306326930463651344587557444992243086019629219937926072703053181690
93,228,5543215723869274581169768259,82244390155073524500341955980462155808230312943848371279797074597138321405993
94,229,11105628461051707003959742092,35385547418501014372452240783751271683190258404121594370291096695686998010220
95,230,19968070213742271349174484199,45483572950558543684565467243649093032760339613443747014757328928820614407930
96,231,53447967655088732363286529792,96432372134484529226768953631243238613692363715329399257379908344413969604158
97,232,126712547757903871822127254320,103547446433570254054770327100619400200134957264802304928518917060057732956177
93,228,7089535488985315944808094682,53000062463970275398138124634601169559062072621378137228863151786172795281198
94,229,15700479274734659700434573830,54783259407723949088490845641500753136532435502512320394277510928178732324850
95,230,20747408438499707159776132243,91996658132045615678957063479635993857317488729866379600265541241172077044927
96,231,68267272011877460960645874361,96556935175268612185267308515972505043996579392056671345099926175092966423346
97,232,109979400709530341316034249225,75856811399634624357311993611082668217030361655798398035899254194699749721338
93,228,5226162335826534849763267375,25997380823841270687971480217383748482291006546047667040844496762621878942091
94,229,12498515783439433707337933227,83137210427227828246399053243032701771331740304641241637439781212659382410028
95,230,36362617873475392287839286978,75689921445791853589787211338646130319419411744654411100973849683696827864375
96,231,79118863953980823144226690053,30740421977086601089083330885204204075496308028842055955483460513464387427327
97,232,135550775032106514121471721499,59059524692517308422322857043806396831739013098639769873621636838571169155239
