bit_length,total_bits,random_multiplier,rhs_projection_ell
114,249,15832031143345285053171753698227845,93703675742518849516475898105579207503134735862455962523158468841153939966343
115,250,38475810156309810990065884465877137,104991690028858650442334542645376288867715430530765565820228925124215021632835
114,249,14823161079105975354525808656415345,84776462283670929732223237762774540435127605118787094164177106434944376626690
115,250,28636483778945601931665560507411083,18279981552315558910893393113077584235666213764874441605101720260316510712678
114,249,18938355020964745243301573807933235,20189976081691156025798323977950771545524071206005006004657281278002537910373
115,250,35810871133242900195124606791609716,94697798145884966038907214416148323748407450818827905356599532185684985758790
114,249,13322273924502650095700940099398000,78760218028117841608624348033955825434163639261625956992124625033580874499867
115,250,34468493671828779079063301672299252,44838066202339968496640053073334611655431545302727071576618762747885012360140
114,249,15430627423210324017069437494279440,72593357753326861342654124230318526567507920965761504604625437398877254123263
115,250,22616280561605988054091423946835054,69255284869120239358012327200331540712593339016803307544932314101693354411807
114,249,13970900543522932864448324403698703,114219415221279805709071302861735722349214039071469858242774985480748653121276
115,250,29212494246485239763224492801399194,62093144476398972043547220907808451713913646412116784127779783860644922871345
114,249,11644655038512915382385251081332503,74332844747240434752900664627131642006712140471637868539734764276916695730769
115,250,24407370894701760571885068987302305,55173697789658984880943016940030246476912700736843788360553183310242837762340
114,249,12585288739586802300562469284689341,51312211427953876125952953843026604200227287099985090866759938377235496780187
115,250,22003544712264263926858711547682765,96201376164792033476337258946476544400875279827381661845956341073410176691406
114,249,19860568350507672420525833370905931,47785214118367630697581315752236953895063085878591202367633509177766815956043
115,250,30908612533248679391873147508653195,86406481423804990058430567425295207388527692603750687897175630872297872352176
114,249,13999960313075110383201898189939460,19114068804662876544208457210900276088902473213173288552270370240328484785330
115,250,23460620841315340367787202983123392,44280785414974258887805796014990043920840507787304447404866017682778640062649
114,249,20133537003752416947495931265446328,10427729760038654484026468144373240941613521455965966511065229034450963829223
115,250,23238358408316818915882211538001838,43830086766266879589597974627801970851404166112251633960042644111682619114926
114,249,13713891035370368171978443521429713,100118079634605717361107906518556695856702565514908274638856652375066370787716
115,250,31199332201196356345899008369411348,49880497049479729000823482995747176317853530387316498459282229826705722138147
114,249,17601070115404406107145619830448976,89960184386679354061960847247692989254422890637919246469865595970805346047132
115,250,33754158007861061636643726729478955,62889631691809284383282146175232439615353412325535421042735252998640580330748
114,249,12631384630523493251125078268039317,3665847188499212184449416292041945521103699076125562689715762068954786850353
115,250,23155821948123026986871327927283968,71125758708061543386313837737899094799875592904192945088775255858822950648673
114,249,15124731090143776763739608687646186,104273673341704642484220037496857677192574661936568588104177416817559193659684
115,250,31986852453913092831546700701062287,72347317541055308502628731666316508362812985613278133184248298222949830515342
114,249,13448608085811758509788953543010238,28931032276348848742693143486591496055111615564165884170007329983994044916733
115,250,38160613768205570044424799055287330,19180537128952392898631207801328501163076177109296008155774326169960649596500
114,249,20001716889718173300858990546207531,109899936874408758267282227575506288169507208570914445247977042136741011332937
115,250,37304473746159607765669120307665680,104001171333152779062171545866775180296809851320356758375240283960951421437877
114,249,15090795970998266410402978266827392,73906036850418559716123353985767665751399113901563258057103452246204925352028
115,250,31418101845046291426298641243065087,92361556075765389016948121284795859555932705716328119537812274559696085090302
114,249,14517109458017129314364984983110565,38613782316720768445982317950570273255785188993303407842969821728915095778702
115,250,41424970126078100289941420441695964,63584042641434130174349247243546306725883328334735834665769155670462182272868
114,249,17734894605791408597320991790400101,80752295036682662099746470996470637834609893707299459692944501007552533614544
115,250,38101940258022127880562277054168246,28364442619144076591624588947245129886219255386280460440685880773398577243010
114,249,16828417405964289168778858513450649,50043840956543932126523028646970351782041083785280209011447314709027821784330
115,250,32802771447073108091214424749921669,13650331830865408995984331811707098797060653919925353367425193340448241317161
114,249,16317031030542057183294713642827760,25601942263560413450510722119923749721945870997936798262937778892556054052210
115,250,23836214738900907485653098051531010,1123954967190284247804769067549147866556693371674028826993222238126433606333
114,249,16144770254700782679546311620236635,22504653752908612820576723630318946075159997341293063426570890382655016221759
115,250,31655286175294452858998158771700396,83501536470162879142134601600630513196740549870246028148542597896693450161174
114,249,14621651309124598139042920300781892,63258308967791506406762174598132837613364581714776775377272783725105432663045
115,250,20997837619123204673469653590870899,20855603745824691907198890387432437225432238494297085081618910632587782121524
114,249,11727413656847591411835441578582196,35845449001912761070477954716417168462301257363781247422008535180491342969048
115,250,37193140967529785018576462996301361,58847781953295656003894698697431937346375746916389650333994811219517445938189
114,249,14225749192582818390615816150630061,43291366329660498703594027049276406283119830748766919130453452577216260337661
115,250,35428559963219360434364697414940195,24510329169913077420070759992642898112983372448323594592670865476382374231064
114,249,14501755946354409689266860700828551,18989361909300764311511660981901072087550169916780656265676477709535780077460
115,250,27968006662742573404372167118565857,18523010436197169208204157863795750210355009916676585917269383411727411611745
114,249,12216939508828190686959465580920947,24539629346947195440756988547240505425489753393183896968027683378122948348575
115,250,40918850808353148377608345140786888,95741373966233091739069237693692138066052012201295980559305641690376012265157
114,249,11469011510146721644356918439017399,81713805380894394334644484748669384855520058726411273826829113472881476934773
115,250,22891075420149402002339327401904629,83970755361411531977322340579737623248137894886393899138022423475937230669852
114,249,12677758372777715242115037203068519,73455843913261790994365852067579443366100413739202943110319186980097565860281
115,250,36704879939195449515911924918488629,830726405733282659860211131834323975448545953457559700476776586152188784866
114,249,12701499111554856391839568216652538,41361563746895266355110316776252281050357466234029479599930034847435885935718
115,250,39364307892243875114287837214639183,103450978325913678196897473496779184776340969928146271315594685651245478704715
114,249,20241523664205789627312900530637823,4004430321807135839448540956639316556854161858934213457660509865517181979128
115,250,25228886655335182231938080711275786,53351499764149980986120121207927121961252691649647539233591440605859111030896
114,249,16126751250731909811679967886444093,112321834268435447162778471109458300072642654768193420311337091464813898597220
115,250,24982613211231606344959684565051165,62941215433203664020441142471864627036428187175078634343553094001587959980827
114,249,17157045371249015749354698170418940,85738031107895346260347291228699931041188320855019133422489226039029078053656
115,250,34686487516948363097251261197257840,94337770092083146433504832768247482544070999912394495382388658948765899451964
114,249,14884830659940122035666335921127395,63558601886008528612778298431205243979256662184834865745522212768129549453732
115,250,31291034930789166277237073953054684,37422477416841672443388970592342582286021858297826506429153822566701313457172
114,249,12153931400157268164384108352230599,87333194633265095345281824146708157767806328572951069143067590055755674237111
115,250,26176226559047614390965470743287800,49506113171907319441315115664460085146906293229251233237154870550809235144337
114,249,19368244510260918662316899028461926,74143339987376907736198863146762891893360094730517989793751108153755212429624
115,250,23409760796828417509572273085455507,22072239804767167580198666495254875078747525471534074911526567428412540331887
114,249,15332546463005509957806792946658495,84712841504719223995637102814219072392424504473301231861167317584437976959193
115,250,25076583279815866348020582519113556,5187952290367428976654300575483627947157130857243585285709926403648731131089
114,249,20737080842203754891160989987681372,11381652549071890065843334817990348639552231289481685034922768083549190694597
115,250,33105815574043547542445637488360373,14399626516787432122843238317875097115981000457231604425357444137169787035440
114,249,20470161232971026019490090025613783,114920326693053744826554980409030103588037025253958261442545816274674686443315
115,250,29148361607929138842139340332425442,96666003526677375535797202943981668446291002650193228097785852474844541323200
114,249,20112484388932729197086671511999524,111916308755041837862289149728322312115644444327155754350913970744721748434637
115,250,27491780854238986359455253019133927,16281848785770165386554500473971309045850445107371773587614947124177315623670
114,249,12259897055814387650710366831561342,97718527575547497408177744843398523441157059418407680836008093776901238545295
115,250,28521696875558767573425537382226727,73804902086398046016018179075386509675719203707294420203474361444736390339910
114,249,13739232157954160437589255200041684,77420574719194435139101507196160484651432247016744918687001997825442654847724
115,250,20900294866999538309539033300154214,104937542675254315227742650988442008627501165276901330166468259846763329694141
114,249,12205327424953964847263953215401245,13213487297725713324221387794984062660144444427358746724106429644773096957502
115,250,40892532256613789949796714091772361,65703698178202943193998740758995992342037065213043904745058195322949375943768
