bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,455512,85405214433913699873214764440222976175447244344130907451490573470135823609705
19,231,354173,106585273773244070440657476023710121488506335347248562306991081079286270677502
19,231,336437,37009255412606125184102630021807293468688942880015016663603169530501068042514
19,231,474377,32465367463159104196293860821467930101003056069957786915671184695099792527187
19,231,460544,53285331780474053167518529125849650082671548734112002295054969226111083807451
19,231,480496,43363283044190809672893558766624558625061009531107140948272868674979828276771
19,231,521704,98563589706343155445044208739934159726649908705960853267682755077651941242271
19,231,292824,115237837752244647781823899642277559034941455358575310290574941565054204423488
19,231,446558,112694062696380769746637420443419716817896401472988994644795872889730153346237
19,231,417748,41417085969669636027593623759396687554814340025514475207163711482821298398682
19,231,458510,75742062583609011340127787417087301133757702710133852902458694512464127427934
19,231,278115,76151672691894850107067334994708230000238585036633746065447555518117291230307
19,231,378702,84604282489819934561541200905908404690132583297769868622328890437097287277649
19,231,436740,63205691348260144156287938418409684148611745591064029471490725045796062215270
19,231,447111,21373136032363850780100164364332643575173556581976937988852372071705502515195
19,231,376562,25587031577296186592740965670168416624645894940131865521980694032470076410385
19,231,524257,77181415454578653645598549054104396643722547545979225729000951039217090471803
19,231,313668,100276034041152156820262022420256879728086365773268094764843988091076735825145
19,231,408749,57138125052963176025169132794769790755672523645455640582432262609382801527435
19,231,447799,62970371329722001882945633368772668842972929438542737714711908157476858396644
19,231,334708,215120461969163684664456789787168384042831450397007312676794452261228292031
19,231,285661,30987484178424387433868335422287463908346820879340117413415914766490288355921
19,231,264031,77197890854017392576661702080948853498807915680348582188375818155184526788046
19,231,489218,5658920241837110134168438350527736740566360541722862284922766879497540348037
19,231,399538,67780155718831939668574291244854876307333671997858074303189920291616442968476
19,231,423434,78372974673490121638810980698594032055822472399497789619734871350035310518271
19,231,399776,64302990311799580370051617896471874193384753228084560160450888596605532734439
19,231,464492,64320943559493532943108474162298744975194328136481757000559159205471351967424
19,231,490311,10772133784154705693903762571888541734052875383411153385513504499118637588344
19,231,475463,86712635195360156932334168257073640631704386269161253680742882287795588235712
19,231,303704,92192466165078138956531324197124667411606153646738770674496228712978139740266
19,231,292795,18954844486652321504653593540499827753052413813613168174248832793094769620200
